,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,SalaryGroup,StayGroup,ExperienceGroup,SalaryHike
36,37,32,0.0,2,427,1,1,3,3,1,1,33,3,2,4,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,Early worker age,Low Salary,Medium Stay,Senior Employee,1355.64
37,38,43,1.0,2,990,1,27,3,5,4,1,87,4,1,2,2,0,4876,5855,5,0,12,3,3,1,8,0,3,6,4,0,2,Middle Age,Low Salary,Medium Stay,Senior Employee,585.12
38,39,28,0.0,0,120,2,4,3,3,2,1,43,3,2,7,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,Early worker age,Low Salary,Short Stay,Mid-level Employee,633.15
39,40,31,1.0,2,249,2,6,4,1,2,1,76,1,2,7,3,1,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,Early worker age,Low Salary,Medium Stay,Senior Employee,1110.96
40,41,50,0.0,2,316,2,8,4,2,4,1,54,3,1,8,2,1,3875,9983,7,0,15,3,4,1,4,2,3,2,2,2,2,Pre-retirement Age,Low Salary,Short Stay,Mid-level Employee,581.25
41,42,39,0.0,2,1132,1,1,3,3,3,1,48,4,3,0,4,0,9613,10942,0,0,17,3,1,3,19,5,2,18,10,3,7,Middle Age,Medium Salary,Long Stay,Senior Employee,1634.21
42,43,35,0.0,2,809,1,16,3,3,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,Middle Age,Low Salary,Short Stay,Senior Employee,315.38
43,44,32,0.0,1,379,2,5,2,1,2,1,48,3,2,7,2,1,6524,8891,1,0,14,3,4,1,10,3,3,10,8,5,3,Early worker age,Low Salary,Medium Stay,Senior Employee,913.3600000000001
44,45,26,1.0,2,1330,1,21,3,3,1,1,37,3,1,2,3,0,2377,19373,1,0,20,4,3,1,1,0,2,1,1,0,0,Early worker age,Low Salary,Short Stay,Fresh Graduate,475.40000000000003
45,46,30,0.0,2,288,1,2,3,1,3,1,99,2,2,0,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,Early worker age,Low Salary,Long Stay,Senior Employee,788.88
46,47,38,1.0,2,345,2,10,2,1,1,0,100,3,2,7,4,1,5343,5982,1,0,11,3,3,1,10,1,3,10,7,1,9,Middle Age,Low Salary,Medium Stay,Senior Employee,587.73
47,48,30,1.0,2,330,0,1,3,1,3,1,46,3,1,1,3,0,2064,15428,0,0,21,4,1,1,6,3,4,5,3,1,3,Early worker age,Low Salary,Short Stay,Senior Employee,433.44
48,49,38,0.0,1,216,1,23,3,1,4,1,44,2,3,4,3,2,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,Middle Age,Medium Salary,Medium Stay,Senior Employee,2000.46
49,50,21,0.0,2,1343,2,22,1,5,3,1,49,3,1,8,3,2,3447,24444,1,0,11,3,3,0,3,2,3,3,2,1,2,Young Age,Low Salary,Short Stay,Junior Employee,379.17
50,51,35,0.0,2,950,1,7,3,4,3,1,59,3,3,4,3,2,10221,18869,3,0,21,4,2,0,17,3,4,8,5,1,6,Middle Age,Medium Salary,Medium Stay,Senior Employee,2146.41
51,52,50,1.0,2,264,2,9,3,2,3,1,59,3,5,3,3,1,19331,19519,4,1,16,3,3,1,27,2,3,1,0,0,0,Pre-retirement Age,High Salary,Short Stay,Senior Employee,3092.96
52,53,34,1.0,1,426,1,10,4,1,3,1,42,4,2,4,4,0,4724,17000,1,0,13,3,1,1,9,3,3,9,7,7,2,Early worker age,Low Salary,Medium Stay,Senior Employee,614.12
53,54,26,0.0,1,1479,1,1,3,1,3,0,84,3,2,4,2,0,6397,26767,1,0,20,4,1,1,6,6,1,6,5,1,4,Early worker age,Low Salary,Medium Stay,Senior Employee,1279.4
54,55,31,1.0,1,523,1,2,3,1,2,1,94,3,1,2,4,1,3722,21081,6,1,13,3,3,1,7,2,1,2,2,2,2,Early worker age,Low Salary,Short Stay,Senior Employee,483.86
55,56,30,1.0,2,241,1,7,3,3,2,1,48,2,1,6,2,1,2141,5348,1,0,12,3,2,1,6,3,2,6,4,1,1,Early worker age,Low Salary,Medium Stay,Senior Employee,256.92
56,57,32,0.0,2,1062,1,2,3,3,3,0,75,3,1,2,2,1,2370,3956,1,0,13,3,3,1,8,4,3,8,0,0,7,Early worker age,Low Salary,Medium Stay,Senior Employee,308.1
57,58,32,0.0,2,929,2,10,3,2,4,1,55,3,2,7,4,2,5396,21703,1,0,12,3,4,0,10,2,2,10,7,0,8,Early worker age,Low Salary,Medium Stay,Senior Employee,647.52
58,59,34,0.0,2,1303,1,2,4,1,4,1,62,2,1,6,3,0,2768,8416,3,0,12,3,3,1,14,3,3,7,3,5,7,Early worker age,Low Salary,Medium Stay,Senior Employee,332.15999999999997
59,60,33,0.0,1,553,1,5,4,1,4,0,74,3,3,3,2,1,11878,23364,6,0,11,3,2,2,12,2,3,10,6,8,8,Early worker age,Medium Salary,Medium Stay,Senior Employee,1306.58
60,61,47,0.0,2,983,1,2,2,3,1,0,65,3,2,4,4,0,5070,7389,5,0,13,3,3,3,20,2,3,5,0,0,4,Pre-retirement Age,Low Salary,Short Stay,Senior Employee,659.1
61,62,35,0.0,2,660,2,7,1,1,4,1,76,3,1,8,3,1,2404,16192,1,0,13,3,1,1,1,3,3,1,0,0,0,Middle Age,Low Salary,Short Stay,Fresh Graduate,312.52000000000004
62,63,30,0.0,2,921,1,1,3,1,4,1,38,1,1,2,3,1,3833,24375,3,0,21,4,3,2,7,2,3,2,2,0,2,Early worker age,Low Salary,Short Stay,Senior Employee,804.93
63,64,58,0.0,2,1145,1,9,3,3,2,0,75,2,1,6,2,1,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,Retirement Age,Low Salary,Short Stay,Senior Employee,669.2
64,65,37,1.0,2,625,2,1,4,1,1,1,46,2,3,7,3,1,10609,14922,5,0,11,3,3,0,17,2,1,14,1,11,7,Middle Age,Medium Salary,Long Stay,Senior Employee,1166.99
65,66,45,1.0,2,1005,1,28,2,5,4,0,48,2,4,5,2,2,16704,17119,1,0,11,3,3,0,21,2,3,21,6,8,6,Pre-retirement Age,High Salary,Long Stay,Senior Employee,1837.44
66,67,52,0.0,0,585,2,29,4,1,1,1,40,3,1,8,4,0,3482,19788,2,0,15,3,2,2,16,3,2,9,8,0,0,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,522.3
67,68,38,0.0,2,1380,1,9,2,1,3,0,75,3,1,2,4,2,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,Middle Age,Low Salary,Short Stay,Junior Employee,274.56
68,69,43,1.0,2,1372,2,9,3,2,1,0,85,1,2,7,3,2,5346,9489,8,0,13,3,2,0,7,2,2,4,3,1,3,Middle Age,Low Salary,Short Stay,Senior Employee,694.98
69,70,27,1.0,2,728,2,23,1,3,2,0,36,2,2,8,3,1,3540,7018,1,0,21,4,4,1,9,5,3,9,8,5,8,Early worker age,Low Salary,Medium Stay,Senior Employee,743.4
70,71,52,0.0,1,322,1,28,2,3,4,0,59,4,4,4,3,1,13247,9731,2,1,11,3,2,1,24,3,2,5,3,0,2,Pre-retirement Age,Medium Salary,Short Stay,Senior Employee,1457.17
71,72,49,1.0,2,271,1,3,2,3,3,0,43,2,2,2,1,1,4789,23070,4,0,25,4,1,1,10,3,3,3,2,1,2,Pre-retirement Age,Low Salary,Short Stay,Senior Employee,1197.25
72,73,44,0.0,2,1488,2,1,5,2,2,0,75,3,2,7,1,0,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,Middle Age,Low Salary,Short Stay,Senior Employee,1145.34
73,74,59,0.0,2,142,1,3,3,1,3,1,70,2,1,6,4,1,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,Retirement Age,Low Salary,Short Stay,Senior Employee,370.09000000000003
74,75,58,0.0,2,605,2,21,3,1,4,0,72,3,4,3,4,1,17875,11761,4,1,13,3,3,1,29,2,2,1,0,0,0,Retirement Age,High Salary,Short Stay,Senior Employee,2323.75
75,76,31,1.0,2,471,1,4,3,3,1,0,62,4,1,2,3,0,3978,16031,8,0,12,3,2,1,4,0,2,2,2,2,2,Early worker age,Low Salary,Short Stay,Mid-level Employee,477.35999999999996
76,77,42,0.0,0,926,1,21,2,3,3,0,36,3,2,4,3,0,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,Middle Age,Low Salary,Short Stay,Senior Employee,842.4
77,78,45,0.0,2,561,2,2,3,4,4,1,61,3,2,7,2,1,4805,16177,0,0,19,3,2,1,9,3,4,8,7,3,7,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,912.95
78,79,31,1.0,2,1079,2,10,2,3,3,0,86,3,2,7,4,0,6583,20115,2,1,11,3,4,1,8,2,3,5,2,1,4,Early worker age,Low Salary,Short Stay,Senior Employee,724.13
79,80,34,1.0,2,1130,1,3,3,1,4,0,66,3,2,6,2,0,5433,19332,1,0,12,3,3,1,11,2,3,11,8,7,9,Early worker age,Low Salary,Long Stay,Senior Employee,651.9599999999999
80,81,21,1.0,2,1427,1,18,1,4,4,0,65,3,1,6,4,2,2693,8870,1,0,19,3,1,0,1,3,2,1,0,0,0,Young Age,Low Salary,Short Stay,Fresh Graduate,511.67
81,82,23,0.0,2,885,1,4,3,3,1,1,58,4,1,6,1,1,2819,8544,2,0,16,3,1,1,5,3,4,3,2,0,2,Young Age,Low Salary,Short Stay,Mid-level Employee,451.04
82,83,47,1.0,2,207,1,9,4,1,2,0,64,3,1,2,3,2,2105,5411,4,0,12,3,3,0,7,2,3,2,2,2,0,Pre-retirement Age,Low Salary,Short Stay,Senior Employee,252.6
83,84,54,0.0,2,1147,2,3,3,2,4,0,52,3,2,7,1,1,5940,17011,2,0,14,3,4,1,16,4,3,6,2,0,5,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,831.6
84,85,41,0.0,2,509,1,7,2,5,2,0,43,4,1,6,3,1,3376,18863,1,0,13,3,3,0,10,3,3,10,6,0,8,Middle Age,Low Salary,Medium Stay,Senior Employee,438.88
85,86,45,0.0,2,1038,1,20,3,3,2,1,95,1,3,0,1,0,10851,19863,2,1,18,3,2,1,24,2,3,7,7,0,7,Pre-retirement Age,Medium Salary,Medium Stay,Senior Employee,1953.1799999999998
86,87,36,1.0,2,1120,2,11,4,2,2,0,100,2,2,7,4,1,6652,14369,4,0,13,3,1,1,8,2,2,6,3,0,0,Middle Age,Low Salary,Medium Stay,Senior Employee,864.76
87,88,45,0.0,0,1052,2,6,3,3,4,0,57,2,3,7,4,2,8865,16840,6,0,12,3,4,0,23,2,3,19,7,12,8,Pre-retirement Age,Medium Salary,Long Stay,Senior Employee,1063.8
88,89,46,1.0,2,1254,2,10,3,1,3,0,64,3,3,7,2,1,7314,14011,5,0,21,4,3,3,14,2,3,8,7,0,7,Pre-retirement Age,Low Salary,Medium Stay,Senior Employee,1535.94
89,90,42,1.0,2,419,2,12,4,2,2,1,77,3,2,7,4,0,5087,2900,3,1,12,3,3,2,14,4,3,0,0,0,0,Middle Age,Low Salary,Short Stay,Senior Employee,610.4399999999999
90,91,34,1.0,2,1157,1,5,2,3,2,1,57,2,2,2,4,1,3986,11912,1,0,14,3,3,1,15,3,4,15,10,4,13,Early worker age,Low Salary,Long Stay,Senior Employee,558.0400000000001
91,92,37,1.0,2,783,1,7,4,3,4,1,78,3,2,6,1,1,4284,13588,5,1,22,4,3,1,16,2,3,5,3,0,4,Middle Age,Low Salary,Short Stay,Senior Employee,942.48
92,93,55,0.0,2,111,2,1,2,1,1,1,70,3,3,7,4,1,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,Retirement Age,Medium Salary,Short Stay,Senior Employee,1433.46
93,94,22,1.0,0,457,1,26,2,4,2,0,85,2,1,6,3,1,2814,10293,1,1,14,3,2,0,4,2,2,4,2,1,3,Young Age,Low Salary,Short Stay,Mid-level Employee,393.96000000000004
94,95,34,0.0,1,1069,1,2,1,1,4,1,45,2,2,4,3,1,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,Early worker age,Medium Salary,Medium Stay,Senior Employee,1622.99
95,96,29,1.0,2,136,1,1,3,1,1,1,89,3,2,0,1,1,5373,6225,0,0,12,3,1,1,6,5,2,5,3,0,2,Early worker age,Low Salary,Short Stay,Senior Employee,644.76
96,97,57,0.0,2,405,1,1,2,1,2,1,93,4,2,6,3,1,4900,2721,0,0,24,4,1,1,13,2,2,12,9,2,8,Retirement Age,Low Salary,Long Stay,Senior Employee,1176.0
97,98,53,1.0,2,1168,2,24,4,1,1,1,66,3,3,7,1,2,10448,5843,6,1,13,3,2,0,15,2,2,2,2,2,2,Pre-retirement Age,Medium Salary,Short Stay,Senior Employee,1358.24
98,99,33,0.0,2,147,1,4,4,3,3,0,47,2,1,6,2,1,2622,13248,6,0,21,4,4,0,7,3,3,3,2,1,1,Early worker age,Low Salary,Short Stay,Senior Employee,550.62
99,100,32,0.0,0,300,1,1,3,1,4,1,61,3,1,2,4,0,2314,9148,0,0,12,3,2,1,4,2,3,3,0,0,2,Early worker age,Low Salary,Short Stay,Mid-level Employee,277.68
100,101,21,1.0,1,251,1,10,2,1,1,0,45,2,1,2,3,2,2625,25308,1,0,20,4,3,0,2,2,1,2,2,2,2,Young Age,Low Salary,Short Stay,Junior Employee,525.0
101,102,34,1.0,1,296,2,6,2,2,4,0,33,1,1,8,3,0,2351,12253,0,0,16,3,4,1,3,3,2,2,2,1,0,Early worker age,Low Salary,Short Stay,Junior Employee,376.16
102,103,55,1.0,2,1441,1,22,3,5,1,1,94,2,1,6,2,0,3537,23737,5,0,12,3,4,1,8,1,3,4,2,1,2,Retirement Age,Low Salary,Short Stay,Senior Employee,424.44
103,104,27,0.0,1,1242,2,20,3,1,4,0,90,3,2,7,3,2,9981,12916,1,0,14,3,4,0,7,2,3,7,7,0,7,Early worker age,Medium Salary,Medium Stay,Senior Employee,1397.3400000000001
104,105,46,1.0,2,1319,2,3,3,5,1,0,45,4,4,7,1,0,13225,7739,2,0,12,3,4,1,25,5,3,19,17,2,8,Pre-retirement Age,Medium Salary,Long Stay,Senior Employee,1587.0
105,106,36,0.0,2,917,1,6,4,1,3,1,60,1,1,2,3,0,2741,6865,1,0,14,3,3,1,7,4,3,7,7,1,7,Middle Age,Low Salary,Medium Stay,Senior Employee,383.74
106,107,41,1.0,2,1360,1,12,3,5,2,0,49,3,5,5,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,Middle Age,High Salary,Long Stay,Senior Employee,2345.4
107,108,38,1.0,1,1189,1,1,3,1,4,1,90,3,2,6,4,1,4735,9867,7,0,15,3,4,2,19,4,4,13,11,2,9,Middle Age,Low Salary,Long Stay,Senior Employee,710.25
108,109,33,0.0,1,1296,1,6,3,1,3,1,30,3,2,0,4,0,7725,5335,3,0,23,4,3,1,15,2,1,13,11,4,7,Early worker age,Medium Salary,Long Stay,Senior Employee,1776.75
109,110,18,1.0,0,247,1,8,1,3,3,1,80,3,1,2,3,2,1904,13556,1,0,12,3,4,0,0,0,3,0,0,0,0,Young Age,Low Salary,Short Stay,Fresh Graduate,228.48
110,111,27,0.0,2,894,1,9,3,3,4,0,99,3,1,6,2,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,Early worker age,Low Salary,Medium Stay,Senior Employee,364.64
111,112,22,0.0,2,1230,1,1,2,1,4,1,33,2,2,4,4,1,4775,19146,6,0,22,4,1,2,4,2,1,2,2,2,2,Young Age,Low Salary,Short Stay,Mid-level Employee,1050.5
112,113,33,1.0,2,813,1,14,3,3,3,1,58,3,1,2,4,1,2436,22149,5,1,13,3,3,1,8,2,1,5,4,0,4,Early worker age,Low Salary,Short Stay,Senior Employee,316.68
113,114,42,0.0,1,1368,1,28,4,5,4,0,88,2,2,0,4,1,4523,4386,0,0,11,3,4,3,7,4,4,6,5,0,4,Middle Age,Low Salary,Medium Stay,Senior Employee,497.53000000000003
114,115,29,0.0,1,806,1,1,4,1,2,1,76,1,1,6,4,0,2720,18959,1,0,18,3,4,1,10,5,3,10,7,2,8,Early worker age,Low Salary,Medium Stay,Senior Employee,489.59999999999997
115,116,39,1.0,0,792,1,1,3,1,4,1,77,3,2,2,4,1,6472,8989,1,1,15,3,4,1,9,2,3,9,8,5,8,Middle Age,Low Salary,Medium Stay,Senior Employee,970.8
116,117,35,0.0,2,817,1,1,3,3,4,0,60,2,2,2,4,1,5363,10846,0,0,12,3,2,1,10,0,3,9,7,0,0,Middle Age,Low Salary,Medium Stay,Senior Employee,643.56
117,118,30,1.0,2,305,1,16,3,1,3,1,58,4,2,0,3,1,5294,9128,3,0,16,3,3,1,10,3,3,7,0,1,7,Early worker age,Low Salary,Medium Stay,Senior Employee,847.04
118,119,37,0.0,0,142,2,9,4,3,1,1,69,3,3,7,2,0,8834,24666,1,0,13,3,4,1,9,6,3,9,5,7,7,Middle Age,Medium Salary,Medium Stay,Senior Employee,1148.42
119,120,39,1.0,2,170,1,3,2,3,3,1,76,2,2,2,3,0,3069,10302,0,0,15,3,4,1,11,3,3,10,8,0,7,Middle Age,Low Salary,Medium Stay,Senior Employee,460.34999999999997
120,121,52,1.0,2,266,2,2,1,2,1,0,57,1,5,3,4,1,19845,25846,1,0,15,3,4,1,33,3,3,32,14,6,9,Pre-retirement Age,High Salary,Long Stay,Senior Employee,2976.75
121,122,31,0.0,2,218,2,7,3,5,2,1,100,4,2,7,4,1,6929,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,Early worker age,Low Salary,Medium Stay,Senior Employee,762.19
122,123,29,0.0,2,1396,2,10,3,1,3,1,99,3,1,8,3,2,2642,2755,1,0,11,3,3,0,1,6,3,1,0,0,0,Early worker age,Low Salary,Short Stay,Fresh Graduate,290.62
123,124,28,0.0,2,329,1,24,3,3,3,1,51,3,1,2,2,1,2408,7324,1,1,17,3,3,3,1,3,3,1,1,0,0,Early worker age,Low Salary,Short Stay,Fresh Graduate,409.36
124,125,26,1.0,2,157,1,1,3,3,3,1,95,3,1,2,1,2,2867,20006,0,0,13,3,4,0,8,6,2,7,7,7,6,Early worker age,Low Salary,Medium Stay,Senior Employee,372.71000000000004
125,126,32,1.0,0,1474,2,11,4,4,4,1,60,4,2,7,3,1,4707,23914,8,0,12,3,4,0,6,2,3,4,2,1,2,Early worker age,Low Salary,Short Stay,Senior Employee,564.84
126,127,35,0.0,0,1097,1,11,2,3,3,1,79,2,3,0,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,Middle Age,Medium Salary,Short Stay,Senior Employee,1284.92
127,128,43,0.0,2,920,1,3,3,1,3,1,96,1,5,5,4,1,19740,18625,3,0,14,3,2,1,25,2,3,8,7,0,7,Middle Age,High Salary,Medium Stay,Senior Employee,2763.6000000000004
128,129,33,0.0,2,134,1,2,3,1,3,1,90,3,1,6,4,2,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,Early worker age,Low Salary,Short Stay,Mid-level Employee,350.00000000000006
129,130,44,1.0,2,921,1,2,3,1,3,0,96,4,3,0,4,1,7879,14810,1,1,19,3,2,1,9,2,3,8,7,6,7,Middle Age,Medium Salary,Medium Stay,Senior Employee,1497.01
130,131,41,0.0,2,930,2,3,3,1,3,1,57,2,2,7,2,0,8938,12227,2,0,11,3,3,1,14,5,3,5,4,0,4,Middle Age,Medium Salary,Short Stay,Senior Employee,983.18
